存货编码,一级类别,二级类别,存货名称,英文名,规格型号,存货代码,存货大类编码,存货大类名称,主计量单位名称,默认仓库名称
2030108,零配件,,不锈钢管,,"拉丝,不锈钢301 直径35mm",,SP05,半成品,个,原材料仓
2030109,零配件,,钢管护套,,LDPE 浅灰色,,SP05,半成品,个,原材料仓
2030200,零配件,,综合耙总成,,DS-265C-K350-BK 直径35mm 长270mm DS265C 底板不锈铁202 用出口纸箱包装,,SP05,半成品,个,原材料仓
2030220,零配件,,综合耙总成,COMBINATION TOOL,直径35mm 长280mm,,SP05,半成品,个,原材料仓
2030220-2,零配件,,黑色轮子,,,,SP01,塑胶件,个,
2030300,零配件,,吸管总成?35,HOSE ASSY,组件,,SP05,半成品,套,原材料仓
2030302,零配件,,φ35吸管手柄(带放气开关),,"吸管手柄浅灰,放气开关兰色, 苏州莱尔特 用出口纸箱包装",,SP01,塑胶件,个,原材料仓
2030302-1,零配件,,吸管手柄放气开关,,"兰色, 苏州莱尔特",,SP01,塑胶件,个,原材料仓
2030304,零配件,,软管封头螺母,,CT-13-A DS-713A 苏州莱尔特 用出口纸箱包装,,SP01,塑胶件,个,原材料仓
2030305,零配件,,软管接头 机器端,,ABS757  深灰色,,SP01,塑胶件,个,原材料仓
2030306,零配件,,软管锁紧圈,,CT-13-B DS-026B-K350-BK 苏州莱尔特 用出口纸箱包装,,SP01,塑胶件,个,原材料仓
2030307,零配件,,单波纹螺旋管,,"银色,内径32*外径40*2000mm",,SP01,塑胶件,个,原材料仓
2030401,零配件,,布尘袋总成 20公升,"VACUUM BAG,CLOTCH",,,SP05,半成品,个,原材料仓
2030402,零配件,,20公升吸尘纸袋,PAPER BAG,(NGWB1010ZB04),,SP04,其它零件,个,原材料仓
2030403,其他,,吸尘机说明书,,国内,,PM01,包装材料,本,原材料仓
2030403EU,其他,,吸尘机说明书,,国外，220V，英文,,PM01,包装材料,本,原材料仓
2030403KT,其他,,说明书,,ID18说明书,,PM01,包装材料,个,
2030403U,其他,,吸尘机说明书,,国外，120V，英文,,PM01,包装材料,本,原材料仓
2030404,其他,,吸尘机纸箱,,,,PM01,包装材料,个,原材料仓
2030406,其他,,ID18纸箱,,"KmKmK,卡通封口箱 460×455×520mm",,PM01,包装材料,个,原材料仓
2030406F,其他,,ID18纸箱,,返工,,PM01,包装材料,个,
2030407,其他,,内卡,,材质A=A,,PM01,包装材料,个,原材料仓
2030408,其他,,垫板,,K=K 8段相连 180×180mm,,PM01,包装材料,个,原材料仓
2030409,零配件,,警告贴纸,Warning Decal,"附图,背胶3M9448A",,PM01,包装材料,张,原材料仓
2030410,其他,,垫板,,Am3mA 450×445mm,,PM01,包装材料,个,原材料仓
2030411,其他,,内卡,,材质A=A,,PM01,包装材料,个,原材料仓
2030412,其他,,φ4金属接地标牌,,,,PM01,包装材料,张,原材料仓
2030414,零配件,,警告贴纸,Warning Decal,"英文,背胶3M9448A",,PM01,包装材料,张,原材料仓
2030415,零配件,,地线贴纸,,消银龙,,SP04,其它零件,张,
2030416,零配件,,零线贴纸,,消银龙,,SP04,其它零件,张,
2110100,零配件,,机头总成,,组件,,SP05,半成品,套,原材料仓
2110101,零配件,,电机底座,"Mounting Base,Motor",PP501(PP+20%云母)，浅灰色(PMS),,SP01,塑胶件,个,原材料仓
2110102,零配件,,电机罩,"Mounting Cover,Motor",PP501(PP+20%云母)，浅灰色（10个/箱）,,SP01,塑胶件,个,原材料仓
2110103,零配件,,机头壳,"Housing,Vac Head",PP501(PP+20%云母)，浅灰色(PMS),,SP01,塑胶件,个,原材料仓
2110105,零配件,,上减震圈,"Top Gasket,Motor",丁晴橡胶(48-52°)，黑色,,SP01,塑胶件,个,原材料仓
2110107,零配件,,密封圈,"Gasket,Mounting Base",发泡橡胶δ=6 SBR-CW1520，单面有胶,,SP01,塑胶件,个,原材料仓
2110108,零配件,,无灯单联开关带防水罩,Switch,MK321C081H（16A 250V）,,SP03,电子零件,个,原材料仓
2110109,零配件,,密封圈,"Gasket,Motor",发泡橡胶δ=3.5 SBR-CW1520 单面有胶,,SP01,塑胶件,个,原材料仓
2110110,零配件,,密封垫,,EVA发泡(单面带胶) 厚2mm,,SP01,塑胶件,个,原材料仓
2110112,零配件,,浮球架,"Cage, Float",PP1100，黑色,,SP01,塑胶件,个,原材料仓
2110113,零配件,,浮球,Float Ball,PP1100，黑色,,SP01,塑胶件,个,原材料仓
2110114,零配件,,V1BD25Z1000-WF碳刷组件,,含两个碳刷,,SP03,电子零件,套,原材料仓
2110115,零配件,,双叶湿吸力泵,"Vac Motor,220V","CCL 220V 5.7"" 二级",,SP06,电机,个,原材料仓
2110115A,零配件,,双叶湿吸力泵,"Vac Motor,220V",带端子,,SP05,半成品,套,
2110115JP,零配件,,双叶湿吸力泵,,"CCL 100V 5.7"" 二级",,SP06,电机,个,原材料仓
2110116,零配件,,不锈钢滤网,"Screen, Filter",304不锈钢,,SP02,五金件,个,原材料仓
2110117,零配件,,手柄,Handle,"聚丙烯PP1100NK,  兰色(PMS)",,SP01,塑胶件,个,原材料仓
2110118,零配件,,过滤器,FILTER,H13,,SP04,其它零件,个,原材料仓
2110119,零配件,,EMI元件,EMI PARTS,用于IW35/IW90,,SP03,电子零件,个,原材料仓
2110120,零配件,,PCB板,,用于ID18、IW35、IW90 38X60mm,,SP03,电子零件,个,原材料仓
2110121,零配件,,EMI元件电线,,含2条蓝色线（300，150各一条），2条棕色线（300，150各一条，附图）,,SP03,电子零件,套,原材料仓
2110125,零配件,,双叶湿吸力泵,"Vac Motor,220V","CCL 220V 5.7"" 二级,1350W",,SP06,电机,个,原材料仓
2120100,零配件,,尘隔总成,,组件,,SP05,半成品,套,原材料仓
2120101,零配件,,尘隔架,Filter Frame,"PP3015料, 浅灰色",,SP01,塑胶件,个,原材料仓
2120102,零配件,,尘隔,Filter,JM-350-WHI-0190 白色,,SP04,其它零件,个,原材料仓
2120200,零配件,,35公升桶身总成,,组件,,SP05,半成品,套,原材料仓
2120201,零配件,,桶身,Tank,"高抗冲PP(PP3015),深灰色(PMS)",,SP01,塑胶件,个,原材料仓
2120204,零配件,,密封垫,"Gasket,Intake",丁晴橡胶（55?~60?）深灰色,,SP01,塑胶件,个,原材料仓
2120205,零配件,,左搭扣,Catch,,,SP02,五金件,个,原材料仓
2120211,零配件,,右搭扣,"Catch,Right",,,SP02,五金件,个,原材料仓
2130100,零配件,,吸水耙总成,Wet Pick-Up Tool 300mm,"直径35mm，300mm, DS-026",,SP05,半成品,个,原材料仓
2130101,零配件,,360mm耙头小轮,"Wheel, Assy",黑色，外径φ25mm×宽度10mm,,SP01,塑胶件,个,
2130102,零配件,,滚轮芯轴,"Axle, Wheel","Q235A,φ5×17.5mm,镀锌",,SP02,五金件,个,
2130104,零配件,,吸水后胶条(300mm吸水耙),"Rubber Blade, Back",材质为三元乙丙橡胶 Shore A 55±5 浅灰色,,SP01,塑胶件,条,原材料仓
2130105,零配件,,吸水前胶条(300mm吸水耙),"Rubber Blade, Front",材质为三元乙丙橡胶 Shore A 55±5 浅灰色,,SP01,塑胶件,条,原材料仓
2130106,零配件,,300mm吸水耙壳体总成,,DS-026B-K350-BK 苏州莱尔特 用出口纸箱包装,,SP05,半成品,个,原材料仓
2130401,其他,,IW35纸箱,,"KmKmK,卡通封口箱 475×455×755mm",,PM01,包装材料,个,原材料仓
2130401F,其他,,IW35纸箱,,返工,,PM01,包装材料,个,
2130402,其他,,内卡,,材质A=A,,PM01,包装材料,个,原材料仓
2130403,其他,,堑板,,附图纸,,PM01,包装材料,个,原材料仓
2130405,其他,,吸尘机说明书,,国内,,PM01,包装材料,本,原材料仓
2130405EU,其他,,吸尘机说明书,,"国外，英文,220V,",,PM01,包装材料,本,原材料仓
2130405JP,其他,,吸尘机说明书,,国外，100V，英文,,PM01,包装材料,本,原材料仓
2130405KT,其他,,说明书,,IW35说明书,,PM01,包装材料,个,
2130405U,其他,,吸尘机说明书,,国外，120V，英文,,PM01,包装材料,本,原材料仓
2230100,零配件,,附件套装,,IW35附件套装,,SP05,半成品,个,
2230106,零配件,,吸尘耙总成(苏州莱尔特),"Dry Pick-Up Tool, 360mm","DS407B-K350 直径38mm，360mm, DS407B 用出口纸箱包装",,SP05,半成品,个,原材料仓
2230107,零配件,,吸水耙总成,"Wet Pick-Up Tool, 360mm","直径38mm，360mm, DS390C",,SP05,半成品,个,原材料仓
2230109,零配件,,耙头后刮座,"Seat,rubber blades,back",用于耙头总成2230106，2230107,,SP01,塑胶件,个,原材料仓
2230110,零配件,,耙头前刮座,"Seat,rubber blades,front",用于耙头总成2230106，2230107,,SP01,塑胶件,个,原材料仓
2230111,零配件,,后毛刷条(360mm吸尘耙),"Brush strip, Back",用于零件2230106,,SP04,其它零件,条,原材料仓
2230112,零配件,,前毛刷条(360mm吸尘耙),"Brush strip,Front",用于零件2230106,,SP04,其它零件,条,原材料仓
2230113,零配件,,吸水后胶条(360mm吸水耙),"Rubber Blade, Back",材质为三元乙丙橡胶 Shore A 55±5 浅灰色,,SP05,半成品,条,原材料仓
2230114,零配件,,吸水前胶条(360mm吸水耙),"Rubber Blade, Front",材质为三元乙丙橡胶 Shore A 55±5 浅灰色,,SP05,半成品,条,原材料仓
2230115,零配件,,不锈钢301吸管(弯）,Wand,拉丝(弯38MM 444MM),,SP02,五金件,个,原材料仓
2230116,零配件,,不锈钢301吸管(连套),"Tube, SST",,,SP05,半成品,个,原材料仓
2230117,零配件,,360mm吸水耙壳体总成,"Body,Pick-Up Tool 360mm",DS390D-K380-BK 苏州莱尔特 用出口纸箱包装,,SP05,半成品,个,原材料仓
2230118,零配件,,钢管护套,,LDPE 浅灰色,,SP05,半成品,个,原材料仓
2230119,零配件,,不锈钢管,,"拉丝,不锈钢301 直径38mm",,SP05,半成品,个,原材料仓
2230120,零配件,,"吸管总成,",,组件,,SP05,半成品,套,原材料仓
2230121,零配件,,软管接头机器端 38mm,Machine End,"直径38MM,ABS757,深灰色",,SP01,塑胶件,个,原材料仓
2230122,零配件,,1.5″软管封头螺母,Threaded Insert,"PP1100,黑色",,SP01,塑胶件,个,原材料仓
2230123,零配件,,2寸软管接头锁紧圈,Clip Ring,"PA6,黑色",,SP01,塑胶件,个,原材料仓
2230124,零配件,,喉管长吸咀,"Angeled Hose End, 38mm","LDPE,深灰色",,SP01,塑胶件,个,原材料仓
2230125,零配件,,单波纹螺旋管,HOSE,内径38X外径48X2500mm,,SP01,塑胶件,个,原材料仓
2230126,零配件,,尘扫,Dusting Tool,DS-1158-K448-BK，黑色ABS757，植毛高度38mm，0.20mm黑色PP刷丝 (苏州莱尔特) 用出口纸箱包装,,SP01,塑胶件,个,原材料仓
2230127,零配件,,长耙,Crevice Tool,"DS-1159-K446-BK，ABS401,黑色 (苏州莱尔特) 用出口纸箱包装",,SP01,塑胶件,个,原材料仓
2230130,零配件,,放污管总成,Drain Hose,组件,,SP05,半成品,套,原材料仓
2230131,零配件,,放污管堵,Plug,丁晴橡胶,,SP01,塑胶件,个,原材料仓
2230132,零配件,,放污管,,长1000mm EVA 黑色,,SP01,塑胶件,个,原材料仓
2310113,零配件,,连接线 240mm,,"黄/绿线 UL #18 接地端直径5.3(456-2),",,SP03,电子零件,条,原材料仓
2310115,零配件,,吸力泵,,"CCL二级, TANGENTIAL, 220V",,SP06,电机,个,原材料仓
2310116,零配件,,密封垫,"Gasket,Vac Motor",EVA发泡,,SP01,塑胶件,个,原材料仓
2310117,零配件,,长螺杆,,"Q235A,表面镀镍",,sp02,五金件,个,原材料仓
2310118,零配件,,密封垫,Gasket,"EVA发泡, 黑色",,SP01,塑胶件,个,原材料仓
2310119,零配件,,排气喉管,,"内径φ50, 长300mm",,SP01,塑胶件,个,原材料仓
2310120,零配件,,消音棉,Screen,"消音布，黑色,190MMX870MM",,SP01,塑胶件,个,原材料仓
2310121,零配件,,吸力泵,,"CCL三级, TANGENTIAL, 220V",,SP06,电机,个,原材料仓
2310121A,零配件,,110V吸力泵组件（三级）,,压端子,,SP05,半成品,套,
2310121JP,零配件,,吸力泵,,"CCL三级,V3DT38J120 ,TANGENTIAL, 100V",,SP06,电机,个,原材料仓
2310121U,零配件,,三级吸力泵(120V),"Vac Motor,3-STAGE120V","CCL三级, TANGENTIAL,120V",,SP06,电机,个,原材料仓
2310121Z,零配件,,220V三级吸力泵,,带3位连接器,,SP05,半成品,套,
2310122,零配件,,长螺杆,Stud,"Q235A,表面镀兰锌",,SP02,五金件,个,原材料仓
2310123,零配件,,海棉滤网,Filter,中孔海绵，黑色,,SP01,塑胶件,个,原材料仓
2310124,零配件,,吸力泵,,"CCL二级, V3DD38J100,TANGENTIAL, 100V",,SP06,电机,个,原材料仓
2310125,零配件,,喉管夹,"Clamp, Hose","PC, 深灰色",,SP01,塑胶件,个,原材料仓
2310126,零配件,,扁嘴夹,"Clamp, Crevice","PC, 深灰色",,SP01,塑胶件,个,原材料仓
2310127,零配件,,弯管夹,"Clamp, Bend Tube","PC, 深灰色",,SP01,塑胶件,个,原材料仓
2310128,零配件,,直管夹,"Clamp, Straight Tube","PC, 深灰色",,SP01,塑胶件,个,原材料仓
2310129,零配件,,尘扫夹,"Clamp, Dusting Tool","PC, 深灰色",,SP01,塑胶件,个,原材料仓
2310130,零配件,,地耙夹,"Clamp, Pick-up Tool","PC, 深灰色",,SP01,塑胶件,个,原材料仓
2310131,零配件,,地耙支撑,"Supportor,Pick-up Tool","PP1100, 深灰色",,SP01,塑胶件,个,原材料仓
2310132,零配件,,V3DT38Z1000-WF碳刷组件,,"含两个碳刷,CCL2310121",,SP03,电子零件,套,原材料仓
2310135,零配件,,120V三级吸力泵,,"AMETEK,型号：116565-13，120V 60HZ 1200W",,SP06,电机,个,
2310135A,零配件,,120V三级吸力泵,,带3位连接器,,SP05,半成品,套,
2310136,零配件,,左贴纸,,"PVC,3M背胶 厚0.4mm",,PM01,包装材料,张,原材料仓
2310137,零配件,,右贴纸,,"PVC,3M背胶 厚0.4mm",,PM01,包装材料,张,原材料仓
2320120,零配件,,吸管总成,,组件,,SP05,半成品,套,原材料仓
2320201,零配件,,桶身,Tank,"LLDPE,浅灰",,SP05,半成品,个,原材料仓
2320202,零配件,,手柄,Handle,"PP3015(发泡),浅灰",,SP01,塑胶件,个,原材料仓
2320203,零配件,,底板总成,"Bottom Plate, Assy",焊接件(表面喷深灰色粉PMS432U),,SP02,五金件,个,原材料仓
2320207,零配件,,挂板,Plate,Q235A，喷深灰色锤纹粉,,SP02,五金件,个,
2320208,零配件,,消音管,Acoustic Insulation Pipe,内管铝箔包钢丝螺旋管（50mm内孔），外包10mm厚消音棉，总长80mm,,SP01,塑胶件,个,原材料仓
2320209,零配件,,脚踏板,Pedal,"ABS757发泡, 黑色",,SP01,塑胶件,个,原材料仓
2320210,零配件,,万向轮,"3.5"" Caster","3.5"",表面镀兰锌",,SP04,其它零件,个,原材料仓
2320211,零配件,,轮轴,Axle,"Q235A,表面镀铬",,SP02,五金件,根,原材料仓
2320212,零配件,,中间轴,"Axle, Mounting Plate",不锈钢303,,SP02,五金件,根,原材料仓
2320213,零配件,,销轴,"Axle, Pedal",不锈钢303,,SP02,五金件,个,原材料仓
2320214,零配件,,水刮弹簧,Leaf Spring,"65Mn,HRC41~44,表面黑色电泳漆",,SP02,五金件,个,原材料仓
2320215,零配件,,连接板,"Mounting Plate, Floor Tool","ABS757发泡, 黑色",,SP01,塑胶件,个,原材料仓
2320216,零配件,,视污窗,Clear Window,高抗冲PMMA，牌号ARKEMA DR-101，透明,,SP01,塑胶件,个,原材料仓
2320216A,零配件,,视污窗组件,,零件组装好，用袋封装,,SP05,半成品,套,
2320217,零配件,,橡胶胶链,Rubber Hinge,"丁晴橡胶(55~60°),黑色",,SP01,塑胶件,个,原材料仓
2320218,零配件,,密封圈,"Gasket, Clear Window","橡胶发泡, 兰色",,SP01,塑胶件,个,原材料仓
2320219,零配件,,M10七星旋钮,Knob,PA6 浅灰色,,SP01,塑胶件,个,原材料仓
2320220,零配件,,弯接头,Bend,"PE,黑色，钻孔",,SP01,塑胶件,个,原材料仓
2320220-1,零配件,,弯接头,,"PE,黑色",,SP01,塑胶件,个,
2320223,零配件,,"10""后大轮",,外轮深灰色PVC，内轮兰色PP3015,,SP01,塑胶件,个,原材料仓
2320228,零配件,,"10""后大轮","Wheel,10""",外轮浅灰色，内轮兰色,,SP01,塑胶件,个,原材料仓
2320229,零配件,,浮球滤网,"FLOAT, SHUT-OFF",两个浮球,,SP04,其它零件,个,原材料仓
2320236,零配件,,电线固定夹,"Clamp, Cord",ACC-2-B(全冠),,SP01,塑胶件,个,原材料仓
2320240,零配件,,手柄左联接件,,"焊接件,表面镀兰锌",,SP02,五金件,个,原材料仓
2320241,零配件,,手柄右联接件,"Bracket,Right,Handle","焊接件,表面镀兰锌",,SP02,五金件,个,原材料仓
2320248,零配件,,放污管组件,DRAIN HOSE,钢丝支撑波纹管，手持式放水接头，黑色,,SP01,塑胶件,条,
2320300,零配件,,前置水刮组件(26“),"26"" FRONT MOUNT SQUEEGEE ASSY",组件,,SP05,半成品,套,原材料仓
2320301,零配件,,水刮架,"26"" Body,Pick-Up Tool","ABS发泡,黑色",,SP01,塑胶件,个,原材料仓
2320302,零配件,,防护圈,Bumper,"PP3015,兰色(PMS)",,SP01,塑胶件,个,原材料仓
2320303,零配件,,前置水刮铝压条,"Clamp, Blade",铝合金,,SP02,五金件,个,原材料仓
2320304,零配件,,水刮手把,"Knob, Floor Tool",ABS发泡 深灰色,,SP04,其它零件,个,原材料仓
2320305,零配件,,注塑丝母,,M8X16(直纹滚花m0.3 GB/T6403.3-2008) H59,,SP02,五金件,个,原材料仓
2320306,零配件,,水刮轮轴,"Axle, 2"" Wheel",304不锈钢,,SP02,五金件,根,原材料仓
2320308,零配件,,2“轮子,"2"" Wheel",,,SP04,其它零件,个,原材料仓
2320308A,零配件,,"2""轮组件","2"" WHEEL ASSY",2“轮组件,,SP05,半成品,套,原材料仓
2320309,零配件,,"26""水刮条","26"" Blade","硅橡胶,30°-40°,浅灰色",,SP01,塑胶件,个,原材料仓
2320311,零配件,,"26""水刮条","26"" Blade(PU)","PU30°-40°,本色",,SP01,塑胶件,个,原材料仓
2320400,零配件,,开关面板总成,,组件,,SP05,半成品,套,原材料仓
2320401,零配件,,开关面板,"Panel, Switch",表面喷深灰色光面粉(PMS432U),,SP02,五金件,个,原材料仓
2320402,零配件,,IW90开关面板贴纸,"Decal,Panel","银丝龙δ0.1～0.15,",,PM01,包装材料,张,原材料仓
2320403,零配件,,电缆固定头(B型),Strain Relief,MGB20M-08B,,SP03,电子零件,个,原材料仓
2320404,零配件,,电源线,,"(10A 15M)含头+3条250端子含护套,H05VV-F1.0-3C 电源线颜色为萤光黄",,SP03,电子零件,条,原材料仓
2320404U,零配件,,电源线,,出美国,,SP03,电子零件,条,原材料仓
2320405,零配件,,电线,,H05VV-F1.0-3C 电源线颜色为萤光黄,,SP03,电子零件,条,原材料仓
2320405JP,零配件,,电线,,VCTF 2CX1.25mm? 电源线颜色为萤光黄,,SP03,电子零件,条,原材料仓
2320405U,零配件,,电线,Cord,出美国,,SP03,电子零件,条,原材料仓
2320406,零配件,,开关面板密封垫（长）,,EVA发泡(单面带胶) 厚2mm,,SP01,塑胶件,个,原材料仓
2320407,零配件,,开关面板密封垫（短）,,EVA发泡(单面带胶) 厚2mm,,SP01,塑胶件,个,原材料仓
2320408,零配件,,电源线,,"长15M（含头）,英标插头，H05VV-F1.0-3C 萤光黄",,SP03,电子零件,条,原材料仓
2320408EU,零配件,,电源线,,"长15M（含头）,欧标插头，H05VV-F1.0-3C 萤光黄",,SP03,电子零件,条,原材料仓
2320408JP,零配件,,电源线,,"VCTF 2C/1.25mm?,12A/125V 15m 电源线颜色为萤光黄 附图",,SP03,电子零件,条,原材料仓
2320409,零配件,,电源线,Strain Relief,"SJTW 14/3C 105℃,美式三插, 电源线颜色为萤光黄(PMS122C),插头带保护套",,SP03,电子零件,条,原材料仓
2320411,零配件,,电缆固定头(B型),,MGB20M-13B,,SP03,电子零件,个,原材料仓
2320415,零配件,,警告贴纸,Warning Decal,"英文,背胶3M9448A",,PM01,包装材料,张,原材料仓
2320500,零配件,,水刮吸水喉管总成,Hose Assy,组件,,SP05,半成品,套,原材料仓
2320501,零配件,,1.5″软管封头螺母,Threaded Insert,"PP1100, 黑色",,SP01,塑胶件,个,原材料仓
2320502,零配件,,吸力管(670mm),Hose,"长670mm 内径1.5″,钢丝加强纤维线93%PVC+5%PU",,SP01,塑胶件,根,原材料仓
2320601,其他,,说明书,,国内，220V，中英文,,PM01,包装材料,本,原材料仓
2320601EU,其他,,说明书,,国外，220V，英文,,PM01,包装材料,本,原材料仓
2320601JP,其他,,说明书,,国外，英文，100V,,PM01,包装材料,本,原材料仓
2320601U,其他,,说明书,,国外，英文，120V,,PM01,包装材料,本,原材料仓
2320605,其他,,IW90天盒,,KmKmK 950X500X885mm,,PM01,包装材料,个,原材料仓
2320605F,其他,,IW90天盒,,返工,,PM01,包装材料,个,
2320606,其他,,IW90地盒,,KmKmK 925X475X420mm,,PM01,包装材料,个,原材料仓
2320607,其他,,直护角(873mm),,角纸 50X50X5X873mm,,PM01,包装材料,个,原材料仓
2320608,其他,,内卡,,K=K 670x451mm,,PM01,包装材料,个,原材料仓
2320611,其他,,水刮纸箱,,A=B 150X130X680mm,,PM01,包装材料,个,原材料仓
2320612,其他,,IW90支撑架,,Am3mA 480×255mm,,PM01,包装材料,个,原材料仓
2320613,其他,,内卡,,K=K 545x451mm,,PM01,包装材料,个,原材料仓
2320614,其他,,φ5金属接地标牌,,,,PM01,包装材料,张,原材料仓
2330120,零配件,,"IW90吸管总成,","Hose, Vacuum Assy",组件,,SP05,半成品,套,原材料仓
2330121,零配件,,连接端驳,Machine End,"PVC（85~90 SHORE A）,深灰色",,SP01,塑胶件,个,原材料仓
2330122,零配件,,单波纹螺旋管,Hose,内径38X外径48X1250mm,,SP01,塑胶件,个,原材料仓
2330123,零配件,,喉箍（带热缩管）,,直径27-51mm，不锈钢,,SP05,半成品,个,原材料仓
2330130,零配件,,90公升吸尘布袋,Cloth Bag,(NGUF0007JD01),,SP04,其它零件,个,原材料仓
2330131,零配件,,布尘袋夹条,CLIP,用于尘袋2330130,,SP01,塑胶件,个,原材料仓
2330132,零配件,,90公升吸尘纸袋,Paper Bag,(NGUF0008ZB01),,SP04,其它零件,个,原材料仓
2330133,零配件,,过滤袋,,灰色SMS布(NGUF0010JD02),,SP04,其它零件,个,原材料仓
2330134,零配件,,过滤器,Catridge Filter,H13,,SP04,其它零件,个,原材料仓
2400011,其他,,IW80天盒,,"KmKmK,628×555×982mm",,PM01,包装材料,个,原材料仓
2400011F,其他,,IW80天盒,,返工,,PM01,包装材料,个,
2400012,其他,,IW80地盒,,"KmKmK,609×534×300mm",,PM01,包装材料,个,原材料仓
2400013,其他,,垫板,,"KmKmK,590×520mm",,PM01,包装材料,张,原材料仓
2400014,其他,,定位板,,"KmKmK,590×520mm",,PM01,包装材料,张,原材料仓
2400015,其他,,IW80纸护角,,"角纸,50×50×5mm，长970mm",,PM01,包装材料,条,原材料仓
2400016,其他,,蜂窝纸板,,585×200×50mm,,PM01,包装材料,块,
2400017,其他,,蜂窝纸板,,410×200×50mm,,PM01,包装材料,块,
2400021,其他,,IW80双马达吸水吸尘机说明书,,中英文,,PM01,包装材料,本,原材料仓
2400022,其他,,IW80双马达吸水吸尘机说明书（出欧洲）,,英文,,PM01,包装材料,本,
2410011,零配件,,轮轴,WHEEL SHAFT,IW80用，Q235A，镀蓝锌,,SP02,五金件,个,原材料仓
2420000,零配件,,双马达吸水吸尘机桶身总成,,组件,,SP05,半成品,套,原材料仓
2420000P,零配件,,双马达吸水吸尘机桶身总成,,带潜水泵,,SP05,半成品,套,原材料仓
2420001,零配件,,IW80桶身,TANK,LLDPE，白色,,SP01,塑胶件,个,原材料仓
2420002,零配件,,IW80桶身扶手,HANDLE,"表面抛光,∮30mm,304不锈钢",,SP02,五金件,个,原材料仓
2420002-1,零配件,,IW80桶身扶手（抛光）,,,,SP02,五金件,个,原材料仓
2420003,零配件,,钢管夹,TUBE CLAMP,"PC,深灰色",,SP01,塑胶件,个,原材料仓
2420004,零配件,,80升吸尘布袋,CLOTH BAG,"比2330130加长及加宽,其余完全相同(空袋长约850mm×宽约250mm)。",,SP04,其它零件,个,原材料仓
2420005,零配件,,80升吸尘纸袋,,"比2330132长270mm,其余完全相同(长约850mm)。",,SP04,其它零件,个,原材料仓
2420006,零配件,,吸管座,,高抗冲PP3015，深灰色,,SP01,塑胶件,个,
2420007,零配件,,密封垫,,原2020202，维修备件,,SP01,塑胶件,个,
2420010,零配件,,双马达吸水吸尘机吸管总成,VACUUM HOSE ASSY,组件,,SP05,半成品,套,原材料仓
2420011,零配件,,单波纹螺旋管(2.3米长),,内径38×外径48×2300mm,,SP01,塑胶件,条,原材料仓
2420012,零配件,,钢管夹,TUBE CLAMP,1.5mm厚弹簧钢，浸塑厚度1mm。,,SP04,其它零件,个,
2420012-1,零配件,,弹簧夹,,1.5mm厚65Mn弹簧钢，附图,,SP02,五金件,个,
2420013,零配件,,放污管,,长800mm EVA波纹管 黑色,,SP01,塑胶件,条,
2420014,零配件,,弯管,,"PVC，70度,黑色",,SP01,塑胶件,个,
2420015,零配件,,放污管,DRAIN HOSE,"钢丝支撑波纹管,手持式放水接头，黑色",,SP01,塑胶件,条,
2421000,零配件,,吸水耙,,组件,,SP05,半成品,个,
2421010,零配件,,430mm吸尘耙总成,,"接口内径38mm,长430mm",,SP05,半成品,个,原材料仓
2421011,零配件,,430mm吸尘耙夹条,,长418mm,,SP01,塑胶件,个,原材料仓
2421012,零配件,,430mm吸尘耙轮子,,"黑色,外径φ28mm×宽度12mm",,SP01,塑胶件,个,原材料仓
2421013,零配件,,430mm吸尘耙耙体,,"接头内径38mm,长430mm,带有轮子,配2个夹条",,SP01,塑胶件,个,原材料仓
2421014,零配件,,430mm吸尘耙前毛刷条,"BRUSH STRIP, FRONT",长415mm,,SP01,塑胶件,条,原材料仓
2421015,零配件,,430mm吸尘耙后毛刷条,"BRUSH STRIP, BACK",长375mm,,SP01,塑胶件,条,原材料仓
2421016,零配件,,430mm吸水耙体,,"PP3015,黑色",,SP01,塑胶件,个,
2421017,零配件,,短夹条,"CLIP, SHORT",PVC，黑色，长382mm,,SP01,塑胶件,条,
2421018,零配件,,长夹条,"CLIP, LONG",PVC，黑色，长420mm,,SP01,塑胶件,条,
2421019,零配件,,"1"" 轮支架",WHEEL HOUSING,"PP, 黑色",,SP01,塑胶件,个,
2421020,零配件,,430mm吸水耙总成,,"接口内径38mm,长430mm",,SP05,半成品,个,原材料仓
2421021,零配件,,吸水胶条(430mm吸水耙),"RUBBER STRIP, FRONT",材质为三元乙丙橡胶 Shore A 55±3 浅灰色,,SP01,塑胶件,条,原材料仓
2421022,零配件,,后吸水胶条(430mm吸水耙),"RUBBER STRIP, BACK",材质为三元乙丙橡胶 Shore A 55±3 浅灰色，长382mm,,SP01,塑胶件,条,
2421023,零配件,,430mm吸水耙接头,,"PP3015,黑色，接头内径38mm",,SP01,塑胶件,个,
2421024,零配件,,430mm吸水耙体组件,"BODY, PICK-UP TOOL, 430mm",组合件，含内径38mm接头,,SP01,塑胶件,块,
2421025,零配件,,430mm吸尘耙前毛刷条,,配莱尔特吸尘耙壳体，长417mm,,SP04,其它零件,条,
2421026,零配件,,430mm吸尘耙后毛刷条,,配莱尔特吸尘耙壳体，长417mm,,SP04,其它零件,条,
2421030,零配件,,430mm吸水耙,"WET PICK-UP TOOL, 430mm",接口内径38mm,,SP05,半成品,个,
